,Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
0,Norway,1,7.537000179290769,7.59444482058287,7.47955553799868,1.6164631843566901,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415505,2.27702665328979,Norway,NO,NOR,578,ISO 3166-2:NO,Europe,Northern Europe,,150.0,154.0,
1,Denmark,2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816863997,2.31370735168457,Denmark,DK,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
2,Iceland,3,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.47554022073745705,0.15352655947208402,2.32271528244019,Iceland,IS,ISL,352,ISO 3166-2:IS,Europe,Northern Europe,,150.0,154.0,
3,Switzerland,4,7.49399995803833,7.56177242040634,7.42622749567032,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.29054927825927696,0.36700728535652205,2.2767162322998,Switzerland,CH,CHE,756,ISO 3166-2:CH,Europe,Western Europe,,150.0,155.0,
4,Finland,5,7.468999862670901,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.24548277258873,0.38261154294014,2.4301815032958998,Finland,FI,FIN,246,ISO 3166-2:FI,Europe,Northern Europe,,150.0,154.0,
5,Netherlands,6,7.3769998550415,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.47048982977867104,0.282661825418472,2.29480409622192,Netherlands,NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,,150.0,155.0,
6,Canada,7,7.31599998474121,7.3844028353691105,7.24759713411331,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,
7,New Zealand,8,7.31400012969971,7.3795104418695,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.500005125999451,0.38281670212745705,2.0464563369751,New Zealand,NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,,9.0,53.0,
8,Sweden,9,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,2.09753799438477,Sweden,SE,SWE,752,ISO 3166-2:SE,Europe,Northern Europe,,150.0,154.0,
9,Australia,10,7.28399991989136,7.35665122494102,7.211348614841699,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.47769924998283403,0.301183730363846,2.06521081924438,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,
10,Israel,11,7.212999820709231,7.279853256493809,7.14614638492465,1.3753824234008798,1.37628996372223,0.83840399980545,0.40598860383033797,0.330082654953003,0.0852421000599861,2.80175733566284,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,,142.0,145.0,
11,Costa Rica,12,7.0789999961853,7.16811166629195,6.989888326078651,1.10970628261566,1.4164036512374898,0.7595092654228209,0.580131649971008,0.21461322903633104,0.100106589496136,2.89863920211792,Costa Rica,CR,CRI,188,ISO 3166-2:CR,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
12,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.4870972633361799,1.4599449634552,0.8153284192085269,0.567766189575195,0.316472321748734,0.22106036543846105,2.1385064125061004,Austria,AT,AUT,40,ISO 3166-2:AT,Europe,Western Europe,,150.0,155.0,
13,United States,14,6.993000030517581,7.07465674757957,6.91134331345558,1.54625928401947,1.4199205636978103,0.7742866277694699,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223937997,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,,19.0,21.0,
14,Ireland,15,6.9770002365112305,7.043351667523379,6.91064880549908,1.5357066392898602,1.5582311153411899,0.8097826242446899,0.5731103420257571,0.42785832285881,0.29838815331459007,1.77386903762817,Ireland,IE,IRL,372,ISO 3166-2:IE,Europe,Northern Europe,,150.0,154.0,
15,Germany,16,6.9510002136230495,7.00538156926632,6.89661885797977,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.33626917004585305,0.276731938123703,2.01576995849609,Germany,DE,DEU,276,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
16,Belgium,17,6.89099979400635,6.95582075044513,6.8261788375675705,1.4637807607650801,1.4623126983642598,0.8180918693542479,0.5397707223892211,0.23150333762168898,0.251343131065369,2.12421035766602,Belgium,BE,BEL,56,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
17,Luxembourg,18,6.86299991607666,6.923686099871991,6.80231373228133,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,Luxembourg,LU,LUX,442,ISO 3166-2:LU,Europe,Western Europe,,150.0,155.0,
18,United Kingdom,19,6.71400022506714,6.78379176110029,6.64420868903399,1.44163393974304,1.4964600801467902,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.7041435241699199,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,,150.0,154.0,
19,Chile,20,6.65199995040894,6.739250560104849,6.5647493407130195,1.25278460979462,1.28402495384216,0.8194797039031979,0.376895278692245,0.3266624212265011,0.0822879821062088,2.5095858573913596,Chile,CL,CHL,152,ISO 3166-2:CL,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
20,United Arab Emirates,21,6.6479997634887695,6.72204730376601,6.57395222321153,1.6263433694839498,1.2664102315902699,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802,United Arab Emirates,AE,ARE,784,ISO 3166-2:AE,Asia,Western Asia,,142.0,145.0,
21,Brazil,22,6.6350002288818395,6.725469501614571,6.5445309561491,1.1073532104492199,1.43130600452423,0.6165523529052729,0.437453746795654,0.16234989464282998,0.11109276115894301,2.7692670822143595,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
22,Czech Republic,23,6.60900020599365,6.6838624626398095,6.5341379493475,1.35268235206604,1.4338852167129499,0.754444003105164,0.49094617366790794,0.0881067588925362,0.0368729270994663,2.45186185836792,Czech Republic,CZ,CZE,203,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
23,Argentina,24,6.59899997711182,6.690085086077451,6.50791486814618,1.18529546260834,1.44045114517212,0.695137083530426,0.49451920390129106,0.109457060694695,0.05973988771438599,2.61400532722473,Argentina,AR,ARG,32,ISO 3166-2:AR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
24,Mexico,25,6.57800006866455,6.67114890769124,6.48485122963786,1.1531838178634601,1.2108621597290001,0.709978997707367,0.412730008363724,0.12099043279886199,0.132774114608765,2.8371548652648904,Mexico,MX,MEX,484,ISO 3166-2:MX,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
25,Singapore,26,6.57200002670288,6.636723069101571,6.507276984304191,1.69227766990662,1.35381436347961,0.9494923949241642,0.549840569496155,0.345965981483459,0.46430778503417997,1.2163619995117199,Singapore,SG,SGP,702,ISO 3166-2:SG,Asia,South-eastern Asia,,142.0,35.0,
26,Malta,27,6.52699995040894,6.598396772891281,6.455603127926589,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.5747305750846861,0.153066068887711,1.55686283111572,Malta,MT,MLT,470,ISO 3166-2:MT,Europe,Southern Europe,,150.0,39.0,
27,Uruguay,28,6.4539999961853,6.54590621769428,6.36209377467632,1.2175596952438401,1.4122278690338101,0.719216823577881,0.5793922543525699,0.175096929073334,0.17806187272071802,2.17240953445435,Uruguay,UY,URY,858,ISO 3166-2:UY,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
28,Guatemala,29,6.4539999961853,6.56687397271395,6.34112601965666,0.872001945972443,1.25558519363403,0.540239989757538,0.5313106179237371,0.283488392829895,0.0772232785820961,2.89389109611511,Guatemala,GT,GTM,320,ISO 3166-2:GT,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
29,Panama,30,6.4520001411438,6.55713071614504,6.346869566142559,1.23374843597412,1.3731925487518302,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2.30719995498657,Panama,PA,PAN,591,ISO 3166-2:PA,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
30,France,31,6.44199991226196,6.515767802447081,6.36823202207685,1.43092346191406,1.38777685165405,0.8444658517837521,0.470222115516663,0.129762306809425,0.172502428293228,2.00595474243164,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
31,Thailand,32,6.4239997863769505,6.50911685571074,6.33888271704316,1.12786877155304,1.4257924556732198,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2.03950834274292,Thailand,TH,THA,764,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,
32,Taiwan Province of China,33,6.42199993133545,6.49459602192044,6.349403840750459,1.4336265325546298,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2.1266074180603,Taiwan Province of China,TW,TWN,158,ISO 3166-2:TW,Asia,Eastern Asia,,142.0,30.0,
33,Spain,34,6.40299987792969,6.471054845303299,6.33494491055608,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,1.92775774002075,Spain,ES,ESP,724,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
34,Qatar,35,6.375,6.56847681432962,6.18152318567038,1.8707656860351598,1.27429687976837,0.7100980877876278,0.604130983352661,0.33047387003898604,0.43929925560951205,1.1454644203186002,Qatar,QA,QAT,634,ISO 3166-2:QA,Asia,Western Asia,,142.0,145.0,
35,Colombia,36,6.35699987411499,6.45202005416155,6.26197969406843,1.07062232494354,1.4021829366683998,0.595027923583984,0.47748741507530196,0.14901447296142598,0.0466687418520451,2.6160681247711204,Colombia,CO,COL,170,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
36,Saudi Arabia,37,6.343999862670901,6.444166612029081,6.24383311331272,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126004,2.0654296875,Saudi Arabia,SA,SAU,682,ISO 3166-2:SA,Asia,Western Asia,,142.0,145.0,
37,Trinidad and Tobago,38,6.1680002212524405,6.3815338906645795,5.95446655184031,1.36135590076447,1.3802285194397,0.5199832916259771,0.518630743026733,0.32529646158218395,0.00896481610834599,2.0532474517822297,Trinidad and Tobago,TT,TTO,780,ISO 3166-2:TT,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
38,Kuwait,39,6.10500001907349,6.1919569888711,6.01804304927588,1.63295245170593,1.25969874858856,0.6321057081222529,0.49633759260177596,0.228289797902107,0.21515955030918102,1.64042520523071,Kuwait,KW,KWT,414,ISO 3166-2:KW,Asia,Western Asia,,142.0,145.0,
39,Slovakia,40,6.09800004959106,6.1773484121263005,6.01865168705583,1.32539355754852,1.5050592422485398,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,2.09777665138245,Slovakia,SK,SVK,703,ISO 3166-2:SK,Europe,Eastern Europe,,150.0,151.0,
40,Bahrain,41,6.08699989318848,6.17898906782269,5.995010718554259,1.4884122610092199,1.3231104612350502,0.653133034706116,0.536746919155121,0.17266848683357197,0.257042169570923,1.65614938735962,Bahrain,BH,BHR,48,ISO 3166-2:BH,Asia,Western Asia,,142.0,145.0,
41,Malaysia,42,6.08400011062622,6.179979636520151,5.988020584732291,1.29121541976929,1.28464603424072,0.618784427642822,0.40226498246192893,0.416608929634094,0.0656007081270218,2.00444889068604,Malaysia,MY,MYS,458,ISO 3166-2:MY,Asia,South-eastern Asia,,142.0,35.0,
42,Nicaragua,43,6.07100009918213,6.186583600342269,5.955416598021981,0.737299203872681,1.28721570968628,0.6530959606170649,0.447551846504211,0.301674216985703,0.130687981843948,2.51393055915833,Nicaragua,NI,NIC,558,ISO 3166-2:NI,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
43,Ecuador,44,6.00799989700317,6.1058476753532895,5.910152118653059,1.00082039833069,1.2861688137054401,0.685636222362518,0.4551981985569,0.15011246502399403,0.140134647488594,2.29035258293152,Ecuador,EC,ECU,218,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
44,El Salvador,45,6.002999782562259,6.108635122329,5.89736444279552,0.9097844958305359,1.1821250915527302,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2.7145938873291002,El Salvador,SV,SLV,222,ISO 3166-2:SV,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
45,Poland,46,5.97300004959106,6.05390834122896,5.892091757953169,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,1.7977228164672898,Poland,PL,POL,616,ISO 3166-2:PL,Europe,Eastern Europe,,150.0,151.0,
46,Uzbekistan,47,5.97100019454956,6.06553757295012,5.876462816149,0.786441087722778,1.5489691495895401,0.498272627592087,0.6582486629486078,0.41598364710807795,0.246528223156929,1.8169136047363301,Uzbekistan,UZ,UZB,860,ISO 3166-2:UZ,Asia,Central Asia,,142.0,143.0,
47,Italy,48,5.96400022506714,6.04273690596223,5.88526354417205,1.3950666189193701,1.44492328166962,0.8531443476676941,0.256450712680817,0.17278964817523998,0.0280280914157629,1.81331205368042,Italy,IT,ITA,380,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
48,Russia,49,5.962999820709231,6.03027490749955,5.89572473391891,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,2.20560741424561,Russia,RU,RUS,643,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,
49,Belize,50,5.955999851226809,6.19724231779575,5.71475738465786,0.907975316047668,1.0814177989959701,0.45019176602363603,0.5475093722343439,0.24001564085483604,0.0965810716152191,2.63195562362671,Belize,BZ,BLZ,84,ISO 3166-2:BZ,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
